track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Time Machine,WILLOW,0.606,0.532,3,-6.076,1,0.0416,0.44,0,0.132,0.405,81.332,audio_features,1jVjOcs7QeQZJXScbqvofI,spotify:track:1jVjOcs7QeQZJXScbqvofI,https://api.spotify.com/v1/tracks/1jVjOcs7QeQZJXScbqvofI,https://api.spotify.com/v1/audio-analysis/1jVjOcs7QeQZJXScbqvofI,143640,3
AOK,Tai Verdes,0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,audio_features,1sx0XsWUusUoPstbvokZjP,spotify:track:1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/tracks/1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/audio-analysis/1sx0XsWUusUoPstbvokZjP,173640,4
DRUGS,Tai Verdes,0.865,0.457,10,-7.542,0,0.0715,0.115,0,0.6,0.733,106.872,audio_features,4tVASOccgcigdCfwUamZCh,spotify:track:4tVASOccgcigdCfwUamZCh,https://api.spotify.com/v1/tracks/4tVASOccgcigdCfwUamZCh,https://api.spotify.com/v1/audio-analysis/4tVASOccgcigdCfwUamZCh,159547,4
good 4 u,Olivia Rodrigo,0.556,0.661,6,-5.052,0,0.204,0.3,0,0.101,0.668,168.56,audio_features,6PERP62TejQjgHu81OHxgM,spotify:track:6PERP62TejQjgHu81OHxgM,https://api.spotify.com/v1/tracks/6PERP62TejQjgHu81OHxgM,https://api.spotify.com/v1/audio-analysis/6PERP62TejQjgHu81OHxgM,178148,4
Freaks,Surf Curse,0.345,0.941,9,-9.918,1,0.0466,3.84E-05,0.633,0.0511,0.407,179.626,audio_features,7EkWXAI1wn8Ii883ecd9xr,spotify:track:7EkWXAI1wn8Ii883ecd9xr,https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr,https://api.spotify.com/v1/audio-analysis/7EkWXAI1wn8Ii883ecd9xr,147062,4
Jam & Butterfly,"DPR LIVE, Crush, eaJ",0.821,0.769,6,-5.379,0,0.0967,0.174,0.00105,0.0842,0.661,148.017,audio_features,5rZkRaL4AjykFgw49KULyo,spotify:track:5rZkRaL4AjykFgw49KULyo,https://api.spotify.com/v1/tracks/5rZkRaL4AjykFgw49KULyo,https://api.spotify.com/v1/audio-analysis/5rZkRaL4AjykFgw49KULyo,208040,4
Maria,HWASA,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03E-06,0.272,0.442,128.909,audio_features,0ZeGfEAL5Rl4pd5LZBGuEK,spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,https://api.spotify.com/v1/tracks/0ZeGfEAL5Rl4pd5LZBGuEK,https://api.spotify.com/v1/audio-analysis/0ZeGfEAL5Rl4pd5LZBGuEK,199027,4
Save Your Tears,The Weeknd,0.679,0.825,0,-5.487,1,0.0309,0.0212,1.21E-05,0.543,0.644,118.049,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4
Planet Girl (Feat. pH-1),"Jooyoung, pH-1",0.688,0.521,9,-7.251,0,0.0592,0.754,0,0.178,0.431,102.974,audio_features,33G3yRbFmwmYVw0N12v177,spotify:track:33G3yRbFmwmYVw0N12v177,https://api.spotify.com/v1/tracks/33G3yRbFmwmYVw0N12v177,https://api.spotify.com/v1/audio-analysis/33G3yRbFmwmYVw0N12v177,189884,4
She,"Tyler, The Creator, Frank Ocean",0.35,0.621,8,-6.495,0,0.233,0.256,3.44E-05,0.613,0.459,83.375,audio_features,0SA0mMXWh23raZ6xzOCU2V,spotify:track:0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/tracks/0SA0mMXWh23raZ6xzOCU2V,https://api.spotify.com/v1/audio-analysis/0SA0mMXWh23raZ6xzOCU2V,253387,4
Ruinous One,Nan-Ana,0.833,0.444,4,-8.08,1,0.119,0.74,0,0.172,0.711,80,audio_features,3yXY3A2r0CUwkYLUTdjrWu,spotify:track:3yXY3A2r0CUwkYLUTdjrWu,https://api.spotify.com/v1/tracks/3yXY3A2r0CUwkYLUTdjrWu,https://api.spotify.com/v1/audio-analysis/3yXY3A2r0CUwkYLUTdjrWu,205453,4
Ivy,Frank Ocean,0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,audio_features,2ZWlPOoWh0626oTaHrnl2a,spotify:track:2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/tracks/2ZWlPOoWh0626oTaHrnl2a,https://api.spotify.com/v1/audio-analysis/2ZWlPOoWh0626oTaHrnl2a,249191,4
Damage,H.E.R.,0.646,0.696,1,-6.505,1,0.065,0.113,0,0.115,0.18,81.336,audio_features,0KS2h61pHQ4WmOwruD7uxD,spotify:track:0KS2h61pHQ4WmOwruD7uxD,https://api.spotify.com/v1/tracks/0KS2h61pHQ4WmOwruD7uxD,https://api.spotify.com/v1/audio-analysis/0KS2h61pHQ4WmOwruD7uxD,223415,4
None Of Your Concern (feat. Big Sean),"Jhené Aiko, Big Sean",0.456,0.517,9,-9.33,0,0.223,0.856,0,0.109,0.378,80.115,audio_features,75MSZRbAbQuzfUV3Pefvut,spotify:track:75MSZRbAbQuzfUV3Pefvut,https://api.spotify.com/v1/tracks/75MSZRbAbQuzfUV3Pefvut,https://api.spotify.com/v1/audio-analysis/75MSZRbAbQuzfUV3Pefvut,259387,4
